"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"SOAP Test to Search Country","793","TC04_CountrySearchRequest - SOAP Test to Search Country","suite","Thu Oct 02 05:56:09 UTC 2025","passed","Thu Oct 02 05:56:10 UTC 2025","SOAPAccountServiceTest","","",""
"To download pdf file from application and verify the PDF details","24173","DownloadTest - To download pdf file from application and verify the PDF details","suite","Thu Oct 02 05:55:38 UTC 2025","passed","Thu Oct 02 05:56:02 UTC 2025","DownloadTest","","",""
"Contact Us regarding Headphone","7227","TC01_ContactUsTest : Contact Us regarding Headphone","suite","Thu Oct 02 05:56:10 UTC 2025","passed","Thu Oct 02 05:56:17 UTC 2025","ContactUsTest","","",""
"Login with valid credentials from Create Account","10432","TC03_LoginCreateAccount - Login with valid credentials from Create Account","suite","Thu Oct 02 05:56:09 UTC 2025","passed","Thu Oct 02 05:56:19 UTC 2025","LoginTest","","",""
"Login with invalid credentials","6206","TC02_InValidLogin - Login with invalid credentials","suite","Thu Oct 02 05:56:03 UTC 2025","passed","Thu Oct 02 05:56:09 UTC 2025","LoginTest","","",""
"SOAP Test to Login to Account","731","TC02_AccountLoginRequest - SOAP Test to Login to Account","suite","Thu Oct 02 05:56:08 UTC 2025","passed","Thu Oct 02 05:56:09 UTC 2025","SOAPAccountServiceTest","","",""
"SOAP Test toLogout of Account","591","TC03_AccountLogoutRequest - SOAP Test toLogout of Account","suite","Thu Oct 02 05:56:09 UTC 2025","passed","Thu Oct 02 05:56:09 UTC 2025","SOAPAccountServiceTest","","",""
"Create new user with India Address","21155","TC01_CreateAccountTest - Create new user with India Address","suite","Thu Oct 02 05:55:38 UTC 2025","passed","Thu Oct 02 05:55:59 UTC 2025","CreateAccountTest","","",""
"SOAP Test to Create Account","2163","TC01_AccountCreateRequest - SOAP Test to Create Account","suite","Thu Oct 02 05:56:06 UTC 2025","passed","Thu Oct 02 05:56:08 UTC 2025","SOAPAccountServiceTest","","",""
"Capture the Screenshot and compare with the baseline image","3967","Capture the Screenshot and compare with the baseline image","suite","Thu Oct 02 05:56:17 UTC 2025","failed","Thu Oct 02 05:56:21 UTC 2025","ImageCompareTest","","",""
"Contact Us regarding Speakers","7357","TC02_ContactUsTest : Contact Us regarding Speakers","suite","Thu Oct 02 05:56:12 UTC 2025","passed","Thu Oct 02 05:56:20 UTC 2025","ContactUsTest","","",""
"Login with valid credentials","9675","TC01_ValidLogin - Login with valid credentials","suite","Thu Oct 02 05:56:03 UTC 2025","passed","Thu Oct 02 05:56:12 UTC 2025","LoginTest","","",""
"Create new user with London Address","21297","TC02_CreateAccountTest - Create new user with London Address","suite","Thu Oct 02 05:55:38 UTC 2025","passed","Thu Oct 02 05:55:59 UTC 2025","CreateAccountTest","","",""
