"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 13 07:12:01 GMT 2023","Sun Aug 13 07:12:07 GMT 2023","6141","suite","","RESTUserTest","","","TC04_UpdateUser - To update phone number of newly added user","To update phone number of newly added user"
"passed","Sun Aug 13 07:13:26 GMT 2023","Sun Aug 13 07:13:27 GMT 2023","647","suite","","SOAPAccountServiceTest","","","TC02_AccountLoginRequest - SOAP Test to Login to Account","SOAP Test to Login to Account"
"passed","Sun Aug 13 07:12:48 GMT 2023","Sun Aug 13 07:13:03 GMT 2023","15087","suite","","ContactUsTest","","","TC02_ContactUsTest - Contact Us regarding Speakers","Contact Us regarding Speakers"
"passed","Sun Aug 13 07:11:43 GMT 2023","Sun Aug 13 07:12:01 GMT 2023","18023","suite","","RESTUserTest","","","TC03_AddUser - To add new user to the store","To add new user to the store"
"passed","Sun Aug 13 07:12:37 GMT 2023","Sun Aug 13 07:12:48 GMT 2023","10301","suite","","RESTUserTest","","","TC06_DeleteUser - To delete a newly added user","To delete a newly added user"
"passed","Sun Aug 13 07:12:07 GMT 2023","Sun Aug 13 07:12:37 GMT 2023","30008","suite","","RESTUserTest","","","TC05_StoreLogin - To Login to the store with newly added user","To Login to the store with newly added user"
"passed","Sun Aug 13 07:11:04 GMT 2023","Sun Aug 13 07:12:01 GMT 2023","56632","suite","","CreateAccountTest","","","TC02_CreateAccountTest - Create new user with London Address","Create new user with London Address"
"passed","Sun Aug 13 07:11:39 GMT 2023","Sun Aug 13 07:11:43 GMT 2023","4105","suite","","RESTUserTest","","","TC02_GetSingleUser - To get single user in the store","To get single user in the store"
"passed","Sun Aug 13 07:13:26 GMT 2023","Sun Aug 13 07:13:26 GMT 2023","424","suite","","SOAPAccountServiceTest","","","TC01_AccountCreateRequest - SOAP Test to Create Account","SOAP Test to Create Account"
"passed","Sun Aug 13 07:12:48 GMT 2023","Sun Aug 13 07:13:26 GMT 2023","37931","suite","","DownloadTest","","","DownloadTest - To download pdf file from application","To download pdf file from application"
"passed","Sun Aug 13 07:12:04 GMT 2023","Sun Aug 13 07:12:27 GMT 2023","22893","suite","","LoginTest","","","TC02_InValidLogin - Login with invalid credentials","Login with invalid credentials"
"passed","Sun Aug 13 07:13:27 GMT 2023","Sun Aug 13 07:13:27 GMT 2023","239","suite","","SOAPAccountServiceTest","","","TC03_AccountLogoutRequest - SOAP Test toLogout of Account","SOAP Test toLogout of Account"
"passed","Sun Aug 13 07:12:01 GMT 2023","Sun Aug 13 07:12:17 GMT 2023","15631","suite","","LoginTest","","","TC01_ValidLogin - Login with valid credentials","Login with valid credentials"
"passed","Sun Aug 13 07:12:27 GMT 2023","Sun Aug 13 07:13:02 GMT 2023","35591","suite","","ContactUsTest","","","TC01_ContactUsTest - Contact Us regarding Headphone","Contact Us regarding Headphone"
"passed","Sun Aug 13 07:11:03 GMT 2023","Sun Aug 13 07:11:39 GMT 2023","35570","suite","","RESTUserTest","","","TC01_GetAllUserTest - To get all the user in the store","To get all the user in the store"
"passed","Sun Aug 13 07:13:27 GMT 2023","Sun Aug 13 07:13:27 GMT 2023","381","suite","","SOAPAccountServiceTest","","","TC04_CountrySearchRequest - SOAP Test to Search Country","SOAP Test to Search Country"
"passed","Sun Aug 13 07:12:17 GMT 2023","Sun Aug 13 07:12:48 GMT 2023","30582","suite","","LoginTest","","","TC03_LoginCreateAccount - Login with valid credentials from Create Account","Login with valid credentials from Create Account"
"passed","Sun Aug 13 07:11:03 GMT 2023","Sun Aug 13 07:12:04 GMT 2023","60289","suite","","CreateAccountTest","","","TC01_CreateAccountTest - Create new user with India Address","Create new user with India Address"
