"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create new user with London Address","18614","TC02_CreateAccountTest - Create new user with London Address","suite","Mon Sep 29 07:42:58 UTC 2025","passed","Mon Sep 29 07:43:16 UTC 2025","CreateAccountTest","","",""
"Contact Us regarding Speakers","5793","TC02_ContactUsTest : Contact Us regarding Speakers","suite","Mon Sep 29 07:43:34 UTC 2025","passed","Mon Sep 29 07:43:40 UTC 2025","ContactUsTest","","",""
"Login with valid credentials from Create Account","11884","TC03_LoginCreateAccount - Login with valid credentials from Create Account","suite","Mon Sep 29 07:43:25 UTC 2025","passed","Mon Sep 29 07:43:37 UTC 2025","LoginTest","","",""
"Contact Us regarding Headphone","6396","TC01_ContactUsTest : Contact Us regarding Headphone","suite","Mon Sep 29 07:43:28 UTC 2025","passed","Mon Sep 29 07:43:34 UTC 2025","ContactUsTest","","",""
"To get all the user in the store","6314","TC01_GetAllUserTest - To get all the user in the store","suite","Mon Sep 29 07:42:57 UTC 2025","failed","Mon Sep 29 07:43:04 UTC 2025","RESTUserTest","","",""
"SOAP Test to Login to Account","492","TC02_AccountLoginRequest - SOAP Test to Login to Account","suite","Mon Sep 29 07:43:37 UTC 2025","passed","Mon Sep 29 07:43:37 UTC 2025","SOAPAccountServiceTest","","",""
"","1","TC03_AddUser - To add new user to the store","suite","Mon Sep 29 07:43:07 UTC 2025","skipped","Mon Sep 29 07:43:07 UTC 2025","RESTUserTest","","",""
"Login with invalid credentials","5482","TC02_InValidLogin - Login with invalid credentials","suite","Mon Sep 29 07:43:19 UTC 2025","passed","Mon Sep 29 07:43:25 UTC 2025","LoginTest","","",""
"","0","TC04_UpdateUser - To update phone number of newly added user","suite","Mon Sep 29 07:43:07 UTC 2025","skipped","Mon Sep 29 07:43:07 UTC 2025","RESTUserTest","","",""
"SOAP Test toLogout of Account","603","TC03_AccountLogoutRequest - SOAP Test toLogout of Account","suite","Mon Sep 29 07:43:37 UTC 2025","passed","Mon Sep 29 07:43:38 UTC 2025","SOAPAccountServiceTest","","",""
"SOAP Test to Create Account","565","TC01_AccountCreateRequest - SOAP Test to Create Account","suite","Mon Sep 29 07:43:36 UTC 2025","passed","Mon Sep 29 07:43:37 UTC 2025","SOAPAccountServiceTest","","",""
"","1","TC02_GetSingleUser - To get single user in the store","suite","Mon Sep 29 07:43:07 UTC 2025","skipped","Mon Sep 29 07:43:07 UTC 2025","RESTUserTest","","",""
"Login with valid credentials","8878","TC01_ValidLogin - Login with valid credentials","suite","Mon Sep 29 07:43:19 UTC 2025","passed","Mon Sep 29 07:43:28 UTC 2025","LoginTest","","",""
"SOAP Test to Search Country","352","TC04_CountrySearchRequest - SOAP Test to Search Country","suite","Mon Sep 29 07:43:38 UTC 2025","passed","Mon Sep 29 07:43:38 UTC 2025","SOAPAccountServiceTest","","",""
"Create new user with India Address","18360","TC01_CreateAccountTest - Create new user with India Address","suite","Mon Sep 29 07:42:57 UTC 2025","passed","Mon Sep 29 07:43:16 UTC 2025","CreateAccountTest","","",""
"To download pdf file from application and verify the PDF details","21592","DownloadTest - To download pdf file from application and verify the PDF details","suite","Mon Sep 29 07:43:14 UTC 2025","passed","Mon Sep 29 07:43:36 UTC 2025","DownloadTest","","",""
"","1","TC05_StoreLogin - To Login to the store with newly added user","suite","Mon Sep 29 07:43:08 UTC 2025","skipped","Mon Sep 29 07:43:08 UTC 2025","RESTUserTest","","",""
"","0","TC06_DeleteUser - To delete a newly added user","suite","Mon Sep 29 07:43:08 UTC 2025","skipped","Mon Sep 29 07:43:08 UTC 2025","RESTUserTest","","",""
