"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create new user with London Address","22424","TC02_CreateAccountTest - Create new user with London Address","suite","Thu Oct 02 05:47:25 UTC 2025","passed","Thu Oct 02 05:47:48 UTC 2025","CreateAccountTest","","",""
"Create new user with India Address","22501","TC01_CreateAccountTest - Create new user with India Address","suite","Thu Oct 02 05:47:25 UTC 2025","passed","Thu Oct 02 05:47:48 UTC 2025","CreateAccountTest","","",""
"Contact Us regarding Headphone","7639","TC01_ContactUsTest : Contact Us regarding Headphone","suite","Thu Oct 02 05:48:00 UTC 2025","passed","Thu Oct 02 05:48:08 UTC 2025","ContactUsTest","","",""
"SOAP Test to Login to Account","1858","TC02_AccountLoginRequest - SOAP Test to Login to Account","suite","Thu Oct 02 05:47:57 UTC 2025","passed","Thu Oct 02 05:47:59 UTC 2025","SOAPAccountServiceTest","","",""
"Login with invalid credentials","6022","TC02_InValidLogin - Login with invalid credentials","suite","Thu Oct 02 05:47:52 UTC 2025","passed","Thu Oct 02 05:47:58 UTC 2025","LoginTest","","",""
"SOAP Test to Search Country","627","TC04_CountrySearchRequest - SOAP Test to Search Country","suite","Thu Oct 02 05:48:00 UTC 2025","passed","Thu Oct 02 05:48:00 UTC 2025","SOAPAccountServiceTest","","",""
"Contact Us regarding Speakers","7659","TC02_ContactUsTest : Contact Us regarding Speakers","suite","Thu Oct 02 05:48:03 UTC 2025","passed","Thu Oct 02 05:48:10 UTC 2025","ContactUsTest","","",""
"Capture the Screenshot and compare with the baseline image","4437","Capture the Screenshot and compare with the baseline image","suite","Thu Oct 02 05:48:08 UTC 2025","failed","Thu Oct 02 05:48:12 UTC 2025","ImageCompareTest","","",""
"Login with valid credentials","10879","TC01_ValidLogin - Login with valid credentials","suite","Thu Oct 02 05:47:52 UTC 2025","passed","Thu Oct 02 05:48:03 UTC 2025","LoginTest","","",""
"SOAP Test toLogout of Account","871","TC03_AccountLogoutRequest - SOAP Test toLogout of Account","suite","Thu Oct 02 05:47:59 UTC 2025","passed","Thu Oct 02 05:48:00 UTC 2025","SOAPAccountServiceTest","","",""
"To download pdf file from application and verify the PDF details","26095","DownloadTest - To download pdf file from application and verify the PDF details","suite","Thu Oct 02 05:47:25 UTC 2025","passed","Thu Oct 02 05:47:51 UTC 2025","DownloadTest","","",""
"SOAP Test to Create Account","1241","TC01_AccountCreateRequest - SOAP Test to Create Account","suite","Thu Oct 02 05:47:55 UTC 2025","passed","Thu Oct 02 05:47:57 UTC 2025","SOAPAccountServiceTest","","",""
"Login with valid credentials from Create Account","12431","TC03_LoginCreateAccount - Login with valid credentials from Create Account","suite","Thu Oct 02 05:47:58 UTC 2025","passed","Thu Oct 02 05:48:10 UTC 2025","LoginTest","","",""
