"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 09:32:35 GMT 2022","Mon Nov 14 09:33:05 GMT 2022","30100","suite","","LoginTest","","","TC02_InValidLogin - Login with invalid credentials","Login with invalid credentials"
"passed","Mon Nov 14 09:32:35 GMT 2022","Mon Nov 14 09:32:35 GMT 2022","5","suite","","RESTUserTest","","","TC06_DeleteUser - To delete a newly added user","To delete a newly added user"
"passed","Mon Nov 14 09:33:28 GMT 2022","Mon Nov 14 09:33:31 GMT 2022","3088","suite","","ContactUsTest","","","TC02_ContactUsTest - Contact Us regarding Speakers","Contact Us regarding Speakers"
"passed","Mon Nov 14 09:33:07 GMT 2022","Mon Nov 14 09:33:31 GMT 2022","24001","suite","","LoginTest","","","TC03_LoginCreateAccount - Login with valid credentials from Create Account","Login with valid credentials from Create Account"
"passed","Mon Nov 14 09:31:37 GMT 2022","Mon Nov 14 09:32:29 GMT 2022","51335","suite","","CreateAccountTest","","","TC01_CreateAccountTest - Create new user with India Address","Create new user with India Address"
"passed","Mon Nov 14 09:32:35 GMT 2022","Mon Nov 14 09:32:42 GMT 2022","7855","suite","","DownloadTest","","","DownloadTest - To download pdf file from application","To download pdf file from application"
"passed","Mon Nov 14 09:31:37 GMT 2022","Mon Nov 14 09:32:03 GMT 2022","25738","suite","","RESTUserTest","","","TC01_GetAllUserTest - To get all the user in the store","To get all the user in the store"
"passed","Mon Nov 14 09:33:07 GMT 2022","Mon Nov 14 09:33:07 GMT 2022","103","suite","","SOAPAccountServiceTest","","","TC04_CountrySearchRequest - SOAP Test to Search Country","SOAP Test to Search Country"
"passed","Mon Nov 14 09:32:23 GMT 2022","Mon Nov 14 09:32:35 GMT 2022","11810","suite","","RESTUserTest","","","TC05_StoreLogin - To Login to the store with newly added user","To Login to the store with newly added user"
"passed","Mon Nov 14 09:32:35 GMT 2022","Mon Nov 14 09:33:05 GMT 2022","30107","suite","","LoginTest","","","TC01_ValidLogin - Login with valid credentials","Login with valid credentials"
"passed","Mon Nov 14 09:33:01 GMT 2022","Mon Nov 14 09:33:05 GMT 2022","4240","suite","","SOAPAccountServiceTest","","","TC02_AccountLoginRequest - SOAP Test to Login to Account","SOAP Test to Login to Account"
"passed","Mon Nov 14 09:32:43 GMT 2022","Mon Nov 14 09:33:01 GMT 2022","17986","suite","","SOAPAccountServiceTest","","","TC01_AccountCreateRequest - SOAP Test to Create Account","SOAP Test to Create Account"
"passed","Mon Nov 14 09:31:39 GMT 2022","Mon Nov 14 09:32:35 GMT 2022","55765","suite","","CreateAccountTest","","","TC02_CreateAccountTest - Create new user with London Address","Create new user with London Address"
"passed","Mon Nov 14 09:33:28 GMT 2022","Mon Nov 14 09:33:28 GMT 2022","8","suite","","ContactUsTest","","","TC01_ContactUsTest - Contact Us regarding Headphone","Contact Us regarding Headphone"
"passed","Mon Nov 14 09:32:13 GMT 2022","Mon Nov 14 09:32:23 GMT 2022","10233","suite","","RESTUserTest","","","TC04_UpdateUser - To update phone number of newly added user","To update phone number of newly added user"
"passed","Mon Nov 14 09:32:03 GMT 2022","Mon Nov 14 09:32:04 GMT 2022","1021","suite","","RESTUserTest","","","TC02_GetSingleUser - To get single user in the store","To get single user in the store"
"passed","Mon Nov 14 09:33:05 GMT 2022","Mon Nov 14 09:33:06 GMT 2022","1685","suite","","SOAPAccountServiceTest","","","TC03_AccountLogoutRequest - SOAP Test toLogout of Account","SOAP Test toLogout of Account"
"passed","Mon Nov 14 09:32:04 GMT 2022","Mon Nov 14 09:32:13 GMT 2022","8342","suite","","RESTUserTest","","","TC03_AddUser - To add new user to the store","To add new user to the store"
