"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 27 07:33:04 GMT 2022","Thu Oct 27 07:33:04 GMT 2022","5","suite","","RESTUserTest","","","TC03_AddUser - To add new user to the store","To add new user to the store"
"passed","Thu Oct 27 07:32:45 GMT 2022","Thu Oct 27 07:33:04 GMT 2022","18787","suite","","RESTUserTest","","","TC02_GetSingleUser - To get single user in the store","To get single user in the store"
"passed","Thu Oct 27 07:33:05 GMT 2022","Thu Oct 27 07:33:12 GMT 2022","7810","suite","","LoginTest","","","TC02_InValidLogin - Login with invalid credentials","Login with invalid credentials"
"passed","Thu Oct 27 07:32:33 GMT 2022","Thu Oct 27 07:33:05 GMT 2022","31611","suite","","CreateAccountTest","","","TC02_CreateAccountTest - Create new user with London Address","Create new user with London Address"
"passed","Thu Oct 27 07:32:32 GMT 2022","Thu Oct 27 07:32:45 GMT 2022","12924","suite","","RESTUserTest","","","TC01_GetAllUserTest - To get all the user in the store","To get all the user in the store"
"passed","Thu Oct 27 07:33:15 GMT 2022","Thu Oct 27 07:33:32 GMT 2022","17152","suite","","ContactUsTest","","","TC01_ContactUsTest - Contact Us regarding Headphone","Contact Us regarding Headphone"
"passed","Thu Oct 27 07:32:33 GMT 2022","Thu Oct 27 07:33:04 GMT 2022","31218","suite","","CreateAccountTest","","","TC01_CreateAccountTest - Create new user with India Address","Create new user with India Address"
"passed","Thu Oct 27 07:33:42 GMT 2022","Thu Oct 27 07:33:42 GMT 2022","7","suite","","SOAPAccountServiceTest","","","TC02_AccountLoginRequest - SOAP Test to Login to Account","SOAP Test to Login to Account"
"passed","Thu Oct 27 07:33:04 GMT 2022","Thu Oct 27 07:33:12 GMT 2022","8147","suite","","RESTUserTest","","","TC04_UpdateUser - To update phone number of newly added user","To update phone number of newly added user"
"passed","Thu Oct 27 07:33:04 GMT 2022","Thu Oct 27 07:33:15 GMT 2022","10765","suite","","LoginTest","","","TC01_ValidLogin - Login with valid credentials","Login with valid credentials"
"passed","Thu Oct 27 07:33:12 GMT 2022","Thu Oct 27 07:33:17 GMT 2022","4964","suite","","RESTUserTest","","","TC05_StoreLogin - To Login to the store with newly added user","To Login to the store with newly added user"
"passed","Thu Oct 27 07:33:22 GMT 2022","Thu Oct 27 07:33:34 GMT 2022","11913","suite","","ContactUsTest","","","TC02_ContactUsTest - Contact Us regarding Speakers","Contact Us regarding Speakers"
"passed","Thu Oct 27 07:33:12 GMT 2022","Thu Oct 27 07:33:22 GMT 2022","9870","suite","","LoginTest","","","TC03_LoginCreateAccount - Login with valid credentials from Create Account","Login with valid credentials from Create Account"
"passed","Thu Oct 27 07:33:42 GMT 2022","Thu Oct 27 07:33:42 GMT 2022","6","suite","","SOAPAccountServiceTest","","","TC01_AccountCreateRequest - SOAP Test to Create Account","SOAP Test to Create Account"
"passed","Thu Oct 27 07:33:17 GMT 2022","Thu Oct 27 07:33:21 GMT 2022","3634","suite","","RESTUserTest","","","TC06_DeleteUser - To delete a newly added user","To delete a newly added user"
"passed","Thu Oct 27 07:33:42 GMT 2022","Thu Oct 27 07:33:42 GMT 2022","3","suite","","SOAPAccountServiceTest","","","TC03_AccountLogoutRequest - SOAP Test toLogout of Account","SOAP Test toLogout of Account"
"passed","Thu Oct 27 07:33:42 GMT 2022","Thu Oct 27 07:33:42 GMT 2022","4","suite","","SOAPAccountServiceTest","","","TC04_CountrySearchRequest - SOAP Test to Search Country","SOAP Test to Search Country"
"passed","Thu Oct 27 07:33:21 GMT 2022","Thu Oct 27 07:33:42 GMT 2022","21613","suite","","DownloadTest","","","DownloadTest - To download pdf file from application","To download pdf file from application"
