"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Aug 13 07:53:57 GMT 2023","Sun Aug 13 07:54:27 GMT 2023","29295","suite","","RESTUserTest","","","TC01_GetAllUserTest - To get all the user in the store",""
"skipped","Sun Aug 13 07:54:27 GMT 2023","Sun Aug 13 07:54:27 GMT 2023","1","suite","","RESTUserTest","","","TC05_StoreLogin - To Login to the store with newly added user",""
"skipped","Sun Aug 13 07:54:27 GMT 2023","Sun Aug 13 07:54:27 GMT 2023","1","suite","","RESTUserTest","","","TC04_UpdateUser - To update phone number of newly added user",""
"skipped","Sun Aug 13 07:54:27 GMT 2023","Sun Aug 13 07:54:27 GMT 2023","1","suite","","RESTUserTest","","","TC03_AddUser - To add new user to the store",""
"failed","Sun Aug 13 07:53:58 GMT 2023","Sun Aug 13 07:54:27 GMT 2023","28757","suite","","CreateAccountTest","","","TC02_CreateAccountTest - Create new user with London Address",""
"skipped","Sun Aug 13 07:54:27 GMT 2023","Sun Aug 13 07:54:27 GMT 2023","1","suite","","RESTUserTest","","","TC06_DeleteUser - To delete a newly added user",""
"failed","Sun Aug 13 07:53:57 GMT 2023","Sun Aug 13 07:54:27 GMT 2023","29645","suite","","CreateAccountTest","","","TC01_CreateAccountTest - Create new user with India Address",""
"failed","Sun Aug 13 07:54:43 GMT 2023","Sun Aug 13 07:54:49 GMT 2023","5825","suite","","ContactUsTest","","","TC02_ContactUsTest - Contact Us regarding Speakers",""
"skipped","Sun Aug 13 07:54:43 GMT 2023","Sun Aug 13 07:54:43 GMT 2023","1","suite","","SOAPAccountServiceTest","","","TC04_CountrySearchRequest - SOAP Test to Search Country",""
"skipped","Sun Aug 13 07:54:27 GMT 2023","Sun Aug 13 07:54:27 GMT 2023","1","suite","","RESTUserTest","","","TC02_GetSingleUser - To get single user in the store",""
"failed","Sun Aug 13 07:54:37 GMT 2023","Sun Aug 13 07:54:43 GMT 2023","6065","suite","","SOAPAccountServiceTest","","","TC01_AccountCreateRequest - SOAP Test to Create Account",""
"skipped","Sun Aug 13 07:54:43 GMT 2023","Sun Aug 13 07:54:43 GMT 2023","1","suite","","SOAPAccountServiceTest","","","TC02_AccountLoginRequest - SOAP Test to Login to Account",""
"failed","Sun Aug 13 07:54:38 GMT 2023","Sun Aug 13 07:54:44 GMT 2023","5774","suite","","ContactUsTest","","","TC01_ContactUsTest - Contact Us regarding Headphone",""
"skipped","Sun Aug 13 07:54:43 GMT 2023","Sun Aug 13 07:54:43 GMT 2023","1","suite","","SOAPAccountServiceTest","","","TC03_AccountLogoutRequest - SOAP Test toLogout of Account",""
"failed","Sun Aug 13 07:54:28 GMT 2023","Sun Aug 13 07:54:35 GMT 2023","6850","suite","","DownloadTest","","","DownloadTest - To download pdf file from application",""
"failed","Sun Aug 13 07:54:36 GMT 2023","Sun Aug 13 07:54:42 GMT 2023","6093","suite","","LoginTest","","","TC03_LoginCreateAccount - Login with valid credentials from Create Account",""
"failed","Sun Aug 13 07:54:30 GMT 2023","Sun Aug 13 07:54:37 GMT 2023","6585","suite","","LoginTest","","","TC02_InValidLogin - Login with invalid credentials",""
"failed","Sun Aug 13 07:54:28 GMT 2023","Sun Aug 13 07:54:34 GMT 2023","6256","suite","","LoginTest","","","TC01_ValidLogin - Login with valid credentials",""
