"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"SOAP Test to Search Country","473","TC04_CountrySearchRequest - SOAP Test to Search Country","suite","Tue Sep 30 14:46:13 UTC 2025","passed","Tue Sep 30 14:46:14 UTC 2025","SOAPAccountServiceTest","","",""
"SOAP Test toLogout of Account","475","TC03_AccountLogoutRequest - SOAP Test toLogout of Account","suite","Tue Sep 30 14:46:13 UTC 2025","passed","Tue Sep 30 14:46:13 UTC 2025","SOAPAccountServiceTest","","",""
"Create new user with India Address","24811","TC01_CreateAccountTest - Create new user with India Address","suite","Tue Sep 30 14:45:32 UTC 2025","passed","Tue Sep 30 14:45:57 UTC 2025","CreateAccountTest","","",""
"SOAP Test to Create Account","2516","TC01_AccountCreateRequest - SOAP Test to Create Account","suite","Tue Sep 30 14:46:07 UTC 2025","passed","Tue Sep 30 14:46:10 UTC 2025","SOAPAccountServiceTest","","",""
"Contact Us regarding Headphone","5928","TC01_ContactUsTest : Contact Us regarding Headphone","suite","Tue Sep 30 14:46:12 UTC 2025","passed","Tue Sep 30 14:46:18 UTC 2025","ContactUsTest","","",""
"Login with valid credentials from Create Account","11672","TC03_LoginCreateAccount - Login with valid credentials from Create Account","suite","Tue Sep 30 14:46:07 UTC 2025","passed","Tue Sep 30 14:46:19 UTC 2025","LoginTest","","",""
"Login with invalid credentials","4468","TC02_InValidLogin - Login with invalid credentials","suite","Tue Sep 30 14:46:03 UTC 2025","passed","Tue Sep 30 14:46:07 UTC 2025","LoginTest","","",""
"SOAP Test to Login to Account","2977","TC02_AccountLoginRequest - SOAP Test to Login to Account","suite","Tue Sep 30 14:46:10 UTC 2025","passed","Tue Sep 30 14:46:13 UTC 2025","SOAPAccountServiceTest","","",""
"To download pdf file from application and verify the PDF details","29295","DownloadTest - To download pdf file from application and verify the PDF details","suite","Tue Sep 30 14:45:32 UTC 2025","passed","Tue Sep 30 14:46:01 UTC 2025","DownloadTest","","",""
"Login with valid credentials","9073","TC01_ValidLogin - Login with valid credentials","suite","Tue Sep 30 14:46:03 UTC 2025","passed","Tue Sep 30 14:46:12 UTC 2025","LoginTest","","",""
"Create new user with London Address","24653","TC02_CreateAccountTest - Create new user with London Address","suite","Tue Sep 30 14:45:32 UTC 2025","passed","Tue Sep 30 14:45:57 UTC 2025","CreateAccountTest","","",""
"Contact Us regarding Speakers","5669","TC02_ContactUsTest : Contact Us regarding Speakers","suite","Tue Sep 30 14:46:14 UTC 2025","passed","Tue Sep 30 14:46:20 UTC 2025","ContactUsTest","","",""
