"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 13 08:16:45 GMT 2023","Sun Aug 13 08:17:00 GMT 2023","14485","suite","","RESTUserTest","","","TC03_AddUser - To add new user to the store","To add new user to the store"
"passed","Sun Aug 13 08:17:18 GMT 2023","Sun Aug 13 08:17:39 GMT 2023","21279","suite","","DownloadTest","","","DownloadTest - To download pdf file from application","To download pdf file from application"
"passed","Sun Aug 13 08:17:02 GMT 2023","Sun Aug 13 08:17:15 GMT 2023","12514","suite","","LoginTest","","","TC01_ValidLogin - Login with valid credentials","Login with valid credentials"
"passed","Sun Aug 13 08:17:06 GMT 2023","Sun Aug 13 08:17:10 GMT 2023","3813","suite","","RESTUserTest","","","TC05_StoreLogin - To Login to the store with newly added user","To Login to the store with newly added user"
"passed","Sun Aug 13 08:17:42 GMT 2023","Sun Aug 13 08:17:42 GMT 2023","429","suite","","SOAPAccountServiceTest","","","TC03_AccountLogoutRequest - SOAP Test toLogout of Account","SOAP Test toLogout of Account"
"passed","Sun Aug 13 08:16:10 GMT 2023","Sun Aug 13 08:17:02 GMT 2023","52528","suite","","CreateAccountTest","","","TC02_CreateAccountTest - Create new user with London Address","Create new user with London Address"
"passed","Sun Aug 13 08:17:10 GMT 2023","Sun Aug 13 08:17:18 GMT 2023","7871","suite","","RESTUserTest","","","TC06_DeleteUser - To delete a newly added user","To delete a newly added user"
"passed","Sun Aug 13 08:17:39 GMT 2023","Sun Aug 13 08:17:41 GMT 2023","1953","suite","","SOAPAccountServiceTest","","","TC01_AccountCreateRequest - SOAP Test to Create Account","SOAP Test to Create Account"
"passed","Sun Aug 13 08:17:42 GMT 2023","Sun Aug 13 08:17:43 GMT 2023","770","suite","","SOAPAccountServiceTest","","","TC04_CountrySearchRequest - SOAP Test to Search Country","SOAP Test to Search Country"
"passed","Sun Aug 13 08:17:32 GMT 2023","Sun Aug 13 08:17:41 GMT 2023","8725","suite","","ContactUsTest","","","TC02_ContactUsTest - Contact Us regarding Speakers","Contact Us regarding Speakers"
"passed","Sun Aug 13 08:16:41 GMT 2023","Sun Aug 13 08:16:45 GMT 2023","3660","suite","","RESTUserTest","","","TC02_GetSingleUser - To get single user in the store","To get single user in the store"
"passed","Sun Aug 13 08:17:41 GMT 2023","Sun Aug 13 08:17:42 GMT 2023","491","suite","","SOAPAccountServiceTest","","","TC02_AccountLoginRequest - SOAP Test to Login to Account","SOAP Test to Login to Account"
"passed","Sun Aug 13 08:17:15 GMT 2023","Sun Aug 13 08:17:32 GMT 2023","17564","suite","","LoginTest","","","TC03_LoginCreateAccount - Login with valid credentials from Create Account","Login with valid credentials from Create Account"
"passed","Sun Aug 13 08:16:09 GMT 2023","Sun Aug 13 08:17:06 GMT 2023","57400","suite","","CreateAccountTest","","","TC01_CreateAccountTest - Create new user with India Address","Create new user with India Address"
"passed","Sun Aug 13 08:17:20 GMT 2023","Sun Aug 13 08:17:41 GMT 2023","21247","suite","","ContactUsTest","","","TC01_ContactUsTest - Contact Us regarding Headphone","Contact Us regarding Headphone"
"passed","Sun Aug 13 08:16:09 GMT 2023","Sun Aug 13 08:16:41 GMT 2023","32027","suite","","RESTUserTest","","","TC01_GetAllUserTest - To get all the user in the store","To get all the user in the store"
"passed","Sun Aug 13 08:17:06 GMT 2023","Sun Aug 13 08:17:20 GMT 2023","13448","suite","","LoginTest","","","TC02_InValidLogin - Login with invalid credentials","Login with invalid credentials"
"passed","Sun Aug 13 08:17:00 GMT 2023","Sun Aug 13 08:17:06 GMT 2023","6721","suite","","RESTUserTest","","","TC04_UpdateUser - To update phone number of newly added user","To update phone number of newly added user"
