"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"SOAP Test to Login to Account","1915","TC02_AccountLoginRequest - SOAP Test to Login to Account","suite","Wed Oct 01 15:06:43 UTC 2025","passed","Wed Oct 01 15:06:45 UTC 2025","SOAPAccountServiceTest","","",""
"Login with valid credentials from Create Account","12199","TC03_LoginCreateAccount - Login with valid credentials from Create Account","suite","Wed Oct 01 15:06:45 UTC 2025","passed","Wed Oct 01 15:06:57 UTC 2025","LoginTest","","",""
"SOAP Test to Create Account","985","TC01_AccountCreateRequest - SOAP Test to Create Account","suite","Wed Oct 01 15:06:42 UTC 2025","passed","Wed Oct 01 15:06:43 UTC 2025","SOAPAccountServiceTest","","",""
"Create new user with India Address","26016","TC01_CreateAccountTest - Create new user with India Address","suite","Wed Oct 01 15:06:05 UTC 2025","passed","Wed Oct 01 15:06:31 UTC 2025","CreateAccountTest","","",""
"Capture the Screenshot and compare with the baseline image","6317","Capture the Screenshot and compare with the baseline image","suite","Wed Oct 01 15:06:56 UTC 2025","failed","Wed Oct 01 15:07:02 UTC 2025","ImageCompareTest","","",""
"SOAP Test toLogout of Account","2075","TC03_AccountLogoutRequest - SOAP Test toLogout of Account","suite","Wed Oct 01 15:06:45 UTC 2025","passed","Wed Oct 01 15:06:47 UTC 2025","SOAPAccountServiceTest","","",""
"To download pdf file from application and verify the PDF details","29666","DownloadTest - To download pdf file from application and verify the PDF details","suite","Wed Oct 01 15:06:05 UTC 2025","passed","Wed Oct 01 15:06:35 UTC 2025","DownloadTest","","",""
"Login with valid credentials","10257","TC01_ValidLogin - Login with valid credentials","suite","Wed Oct 01 15:06:38 UTC 2025","passed","Wed Oct 01 15:06:48 UTC 2025","LoginTest","","",""
"Create new user with London Address","26863","TC02_CreateAccountTest - Create new user with London Address","suite","Wed Oct 01 15:06:05 UTC 2025","passed","Wed Oct 01 15:06:32 UTC 2025","CreateAccountTest","","",""
"Contact Us regarding Speakers","7445","TC02_ContactUsTest : Contact Us regarding Speakers","suite","Wed Oct 01 15:06:49 UTC 2025","passed","Wed Oct 01 15:06:56 UTC 2025","ContactUsTest","","",""
"SOAP Test to Search Country","633","TC04_CountrySearchRequest - SOAP Test to Search Country","suite","Wed Oct 01 15:06:47 UTC 2025","passed","Wed Oct 01 15:06:48 UTC 2025","SOAPAccountServiceTest","","",""
"Contact Us regarding Headphone","7942","TC01_ContactUsTest : Contact Us regarding Headphone","suite","Wed Oct 01 15:06:48 UTC 2025","passed","Wed Oct 01 15:06:56 UTC 2025","ContactUsTest","","",""
"Login with invalid credentials","5892","TC02_InValidLogin - Login with invalid credentials","suite","Wed Oct 01 15:06:39 UTC 2025","passed","Wed Oct 01 15:06:45 UTC 2025","LoginTest","","",""
