"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","TC02_GetSingleUser - To get single user in the store","suite","Wed Sep 24 17:16:18 UTC 2025","skipped","Wed Sep 24 17:16:18 UTC 2025","RESTUserTest","","",""
"Contact Us regarding Speakers","6381","TC02_ContactUsTest : Contact Us regarding Speakers","suite","Wed Sep 24 17:16:41 UTC 2025","passed","Wed Sep 24 17:16:48 UTC 2025","ContactUsTest","","",""
"","1","TC04_UpdateUser - To update phone number of newly added user","suite","Wed Sep 24 17:16:18 UTC 2025","skipped","Wed Sep 24 17:16:18 UTC 2025","RESTUserTest","","",""
"","0","TC06_DeleteUser - To delete a newly added user","suite","Wed Sep 24 17:16:18 UTC 2025","skipped","Wed Sep 24 17:16:18 UTC 2025","RESTUserTest","","",""
"","2","TC03_AddUser - To add new user to the store","suite","Wed Sep 24 17:16:18 UTC 2025","skipped","Wed Sep 24 17:16:18 UTC 2025","RESTUserTest","","",""
"To get all the user in the store","12297","TC01_GetAllUserTest - To get all the user in the store","suite","Wed Sep 24 17:16:06 UTC 2025","failed","Wed Sep 24 17:16:18 UTC 2025","RESTUserTest","","",""
"Create new user with India Address","24930","TC01_CreateAccountTest - Create new user with India Address","suite","Wed Sep 24 17:16:06 UTC 2025","passed","Wed Sep 24 17:16:31 UTC 2025","CreateAccountTest","","",""
"SOAP Test toLogout of Account","2604","TC03_AccountLogoutRequest - SOAP Test toLogout of Account","suite","Wed Sep 24 17:16:36 UTC 2025","passed","Wed Sep 24 17:16:39 UTC 2025","SOAPAccountServiceTest","","",""
"Login with valid credentials","11795","TC01_ValidLogin - Login with valid credentials","suite","Wed Sep 24 17:16:30 UTC 2025","passed","Wed Sep 24 17:16:41 UTC 2025","LoginTest","","",""
"Login with invalid credentials","4802","TC02_InValidLogin - Login with invalid credentials","suite","Wed Sep 24 17:16:31 UTC 2025","passed","Wed Sep 24 17:16:35 UTC 2025","LoginTest","","",""
"Contact Us regarding Headphone","7124","TC01_ContactUsTest : Contact Us regarding Headphone","suite","Wed Sep 24 17:16:40 UTC 2025","passed","Wed Sep 24 17:16:47 UTC 2025","ContactUsTest","","",""
"SOAP Test to Search Country","1641","TC04_CountrySearchRequest - SOAP Test to Search Country","suite","Wed Sep 24 17:16:39 UTC 2025","passed","Wed Sep 24 17:16:40 UTC 2025","SOAPAccountServiceTest","","",""
"SOAP Test to Create Account","1299","TC01_AccountCreateRequest - SOAP Test to Create Account","suite","Wed Sep 24 17:16:34 UTC 2025","passed","Wed Sep 24 17:16:35 UTC 2025","SOAPAccountServiceTest","","",""
"","1","TC05_StoreLogin - To Login to the store with newly added user","suite","Wed Sep 24 17:16:18 UTC 2025","skipped","Wed Sep 24 17:16:18 UTC 2025","RESTUserTest","","",""
"To download pdf file from application","11022","DownloadTest - To download pdf file from application","suite","Wed Sep 24 17:16:23 UTC 2025","passed","Wed Sep 24 17:16:34 UTC 2025","DownloadTest","","",""
"Create new user with London Address","23872","TC02_CreateAccountTest - Create new user with London Address","suite","Wed Sep 24 17:16:06 UTC 2025","passed","Wed Sep 24 17:16:30 UTC 2025","CreateAccountTest","","",""
"Login with valid credentials from Create Account","13320","TC03_LoginCreateAccount - Login with valid credentials from Create Account","suite","Wed Sep 24 17:16:36 UTC 2025","passed","Wed Sep 24 17:16:49 UTC 2025","LoginTest","","",""
"SOAP Test to Login to Account","1091","TC02_AccountLoginRequest - SOAP Test to Login to Account","suite","Wed Sep 24 17:16:35 UTC 2025","passed","Wed Sep 24 17:16:36 UTC 2025","SOAPAccountServiceTest","","",""
