"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","TC04_UpdateUser - To update phone number of newly added user","suite","Mon Sep 29 06:42:59 UTC 2025","skipped","Mon Sep 29 06:42:59 UTC 2025","RESTUserTest","","",""
"","1","TC05_StoreLogin - To Login to the store with newly added user","suite","Mon Sep 29 06:42:59 UTC 2025","skipped","Mon Sep 29 06:42:59 UTC 2025","RESTUserTest","","",""
"Create new user with India Address","23242","TC01_CreateAccountTest - Create new user with India Address","suite","Mon Sep 29 06:42:43 UTC 2025","passed","Mon Sep 29 06:43:06 UTC 2025","CreateAccountTest","","",""
"SOAP Test to Search Country","525","TC04_CountrySearchRequest - SOAP Test to Search Country","suite","Mon Sep 29 06:43:31 UTC 2025","passed","Mon Sep 29 06:43:31 UTC 2025","SOAPAccountServiceTest","","",""
"Login with invalid credentials","6518","TC02_InValidLogin - Login with invalid credentials","suite","Mon Sep 29 06:43:12 UTC 2025","passed","Mon Sep 29 06:43:19 UTC 2025","LoginTest","","",""
"Contact Us regarding Headphone","7210","TC01_ContactUsTest : Contact Us regarding Headphone","suite","Mon Sep 29 06:43:23 UTC 2025","passed","Mon Sep 29 06:43:30 UTC 2025","ContactUsTest","","",""
"Contact Us regarding Speakers","7045","TC02_ContactUsTest : Contact Us regarding Speakers","suite","Mon Sep 29 06:43:30 UTC 2025","passed","Mon Sep 29 06:43:37 UTC 2025","ContactUsTest","","",""
"Create new user with London Address","23033","TC02_CreateAccountTest - Create new user with London Address","suite","Mon Sep 29 06:42:43 UTC 2025","passed","Mon Sep 29 06:43:06 UTC 2025","CreateAccountTest","","",""
"","1","TC03_AddUser - To add new user to the store","suite","Mon Sep 29 06:42:59 UTC 2025","skipped","Mon Sep 29 06:42:59 UTC 2025","RESTUserTest","","",""
"To get all the user in the store","9382","TC01_GetAllUserTest - To get all the user in the store","suite","Mon Sep 29 06:42:43 UTC 2025","failed","Mon Sep 29 06:42:52 UTC 2025","RESTUserTest","","",""
"SOAP Test to Create Account","1071","TC01_AccountCreateRequest - SOAP Test to Create Account","suite","Mon Sep 29 06:43:28 UTC 2025","passed","Mon Sep 29 06:43:29 UTC 2025","SOAPAccountServiceTest","","",""
"SOAP Test toLogout of Account","644","TC03_AccountLogoutRequest - SOAP Test toLogout of Account","suite","Mon Sep 29 06:43:30 UTC 2025","passed","Mon Sep 29 06:43:31 UTC 2025","SOAPAccountServiceTest","","",""
"Login with valid credentials","10346","TC01_ValidLogin - Login with valid credentials","suite","Mon Sep 29 06:43:12 UTC 2025","passed","Mon Sep 29 06:43:23 UTC 2025","LoginTest","","",""
"","1","TC06_DeleteUser - To delete a newly added user","suite","Mon Sep 29 06:42:59 UTC 2025","skipped","Mon Sep 29 06:42:59 UTC 2025","RESTUserTest","","",""
"","0","TC02_GetSingleUser - To get single user in the store","suite","Mon Sep 29 06:42:59 UTC 2025","skipped","Mon Sep 29 06:42:59 UTC 2025","RESTUserTest","","",""
"SOAP Test to Login to Account","574","TC02_AccountLoginRequest - SOAP Test to Login to Account","suite","Mon Sep 29 06:43:29 UTC 2025","passed","Mon Sep 29 06:43:30 UTC 2025","SOAPAccountServiceTest","","",""
"Login with valid credentials from Create Account","12524","TC03_LoginCreateAccount - Login with valid credentials from Create Account","suite","Mon Sep 29 06:43:19 UTC 2025","passed","Mon Sep 29 06:43:32 UTC 2025","LoginTest","","",""
"To download pdf file from application and verify the PDF details","22568","DownloadTest - To download pdf file from application and verify the PDF details","suite","Mon Sep 29 06:43:05 UTC 2025","passed","Mon Sep 29 06:43:28 UTC 2025","DownloadTest","","",""
