"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"To download pdf file from application and verify the PDF details","34278","DownloadTest - To download pdf file from application and verify the PDF details","suite","Tue Sep 30 15:38:42 UTC 2025","passed","Tue Sep 30 15:39:16 UTC 2025","DownloadTest","","",""
"Login with valid credentials","9593","TC01_ValidLogin - Login with valid credentials","suite","Tue Sep 30 15:39:17 UTC 2025","passed","Tue Sep 30 15:39:27 UTC 2025","LoginTest","","",""
"Contact Us regarding Speakers","6811","TC02_ContactUsTest : Contact Us regarding Speakers","suite","Tue Sep 30 15:39:44 UTC 2025","passed","Tue Sep 30 15:39:51 UTC 2025","ContactUsTest","","",""
"SOAP Test to Search Country","4613","TC04_CountrySearchRequest - SOAP Test to Search Country","suite","Tue Sep 30 15:39:39 UTC 2025","passed","Tue Sep 30 15:39:43 UTC 2025","SOAPAccountServiceTest","","",""
"Contact Us regarding Headphone","17658","TC01_ContactUsTest : Contact Us regarding Headphone","suite","Tue Sep 30 15:39:27 UTC 2025","passed","Tue Sep 30 15:39:44 UTC 2025","ContactUsTest","","",""
"Login with invalid credentials","6387","TC02_InValidLogin - Login with invalid credentials","suite","Tue Sep 30 15:39:17 UTC 2025","passed","Tue Sep 30 15:39:24 UTC 2025","LoginTest","","",""
"Login with valid credentials from Create Account","24950","TC03_LoginCreateAccount - Login with valid credentials from Create Account","suite","Tue Sep 30 15:39:24 UTC 2025","passed","Tue Sep 30 15:39:49 UTC 2025","LoginTest","","",""
"SOAP Test to Create Account","1147","TC01_AccountCreateRequest - SOAP Test to Create Account","suite","Tue Sep 30 15:39:23 UTC 2025","passed","Tue Sep 30 15:39:25 UTC 2025","SOAPAccountServiceTest","","",""
"Create new user with London Address","26932","TC02_CreateAccountTest - Create new user with London Address","suite","Tue Sep 30 15:38:42 UTC 2025","passed","Tue Sep 30 15:39:09 UTC 2025","CreateAccountTest","","",""
"SOAP Test toLogout of Account","13267","TC03_AccountLogoutRequest - SOAP Test toLogout of Account","suite","Tue Sep 30 15:39:25 UTC 2025","passed","Tue Sep 30 15:39:39 UTC 2025","SOAPAccountServiceTest","","",""
"SOAP Test to Login to Account","555","TC02_AccountLoginRequest - SOAP Test to Login to Account","suite","Tue Sep 30 15:39:25 UTC 2025","passed","Tue Sep 30 15:39:25 UTC 2025","SOAPAccountServiceTest","","",""
"Create new user with India Address","27926","TC01_CreateAccountTest - Create new user with India Address","suite","Tue Sep 30 15:38:42 UTC 2025","passed","Tue Sep 30 15:39:10 UTC 2025","CreateAccountTest","","",""
